Regiao,Estado,Mês,RADIACAO GLOBAL (Kj/m²),"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)",TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),Temp_Media,Ano
NE,PB,12,1591.577231968811,0.0726643598615917,27.444884615384613,26.236442307692307,26.840663461538462,2021
NE,PE,1,1559.1490096495684,0.04013061224489796,27.269515201314707,25.975239660367023,26.622377430840864,2021
NE,PE,2,1691.2909008189263,0.09972208598986432,28.0089332460733,26.62892670157068,27.31892997382199,2021
NE,PE,3,1698.013550420168,0.09588769143505389,27.527866988773624,26.16158874520392,26.844727866988773,2021
NE,PE,4,1573.9925624321388,0.20666915052160956,26.65111499781373,25.378064422095903,26.014589709954816,2021
NE,PE,5,1283.259515951595,0.13967874231032126,25.027531739002068,23.849143785060527,24.438337762031296,2021
NE,PE,6,1349.719322873658,0.06377440347071583,24.656105804555473,23.418133725202058,24.037119764878767,2021
NE,PE,7,1340.068217934166,0.08789833080424887,24.393638170974157,23.141657745832696,23.767647958403426,2021
NE,PE,8,1490.4270795385548,0.09319114027891716,24.60968986019605,23.352514864213404,23.981102362204727,2021
NE,PE,9,1864.0447179098826,0.02704376548307184,27.43197602315006,25.984146341463415,26.708061182306736,2021
NE,PE,10,1974.7779336734695,0.04863697705802968,29.01796811672521,27.50837611456363,28.263172115644423,2021
NE,PE,11,1821.7840767634855,0.03544132566790666,29.52108291032149,28.046734348561763,28.783908629441626,2021
NE,PE,12,1679.507553260168,0.13831692032229184,28.71924988703118,27.289380930863082,28.00431540894713,2021
NE,PI,1,1365.8904983698183,0.11555314140865472,27.73859055465647,26.37828453729587,27.05843754597617,2021
NE,PI,2,1244.692541219576,0.3327843137254902,26.440981823830978,25.30458288022371,25.872782352027343,2021
NE,PI,3,1466.4041504178274,0.25025505384470054,26.38868175765646,25.17838437638704,25.78353306702175,2021
NE,PI,4,1471.1739876265467,0.13218110088296073,27.213620506597906,25.933338389200667,26.573479447899288,2021
NE,PI,5,1499.0428328129435,0.1036427732079906,27.636722507878584,26.1134682368552,26.875095372366893,2021
NE,PI,6,1476.5348292682925,0.02970684039087948,27.970231660231658,26.31235521235521,27.141293436293434,2021
NE,PI,7,1589.4293769470405,0.03486081370449679,28.0543245311902,26.378185993111366,27.21625526215078,2021
NE,PI,8,1756.8052776082977,0.00485334458746571,28.77517956903432,27.106644054269754,27.940911811652036,2021
NE,PI,9,1762.3809750812568,0.012541993281075027,31.064457577036727,29.2533277050795,30.158892641058113,2021
NE,PI,10,1649.4500100502512,0.08123791102514506,30.5086135978708,28.888797483668036,29.698705540769417,2021
NE,PI,11,1383.3088311688311,0.22775966464834654,27.808183476674486,26.509864477456347,27.159023977065416,2021
NE,PI,12,1179.8350863574617,0.3026979472140763,27.3351585728444,26.202713082259663,26.76893582755203,2021
NE,RN,1,1889.5874769797422,0.04494180841539839,30.44020979020979,28.8593006993007,29.649755244755244,2021
NE,RN,2,1975.0398667935299,0.06573816155988857,30.369362017804157,28.707566765578637,29.5384643916914,2021
NE,RN,3,2014.4101313320828,0.059293044469783354,29.77225340817963,28.14258219727346,28.957417802726546,2021
NE,RN,4,2058.964906832298,0.1347037484885127,30.307917570498915,28.62527114967462,29.466594360086766,2021
NE,RN,5,1951.3844444444444,0.2982843137254902,28.84727577535625,27.43176865046102,28.139522212908634,2021
NE,RN,6,1755.9356846473029,0.006010362694300518,29.262475442043225,27.6743287491814,28.468402095612312,2021
NE,RN,7,1770.2499512195122,0.012890995260663509,29.361261261261262,27.739159159159158,28.55021021021021,2021
NE,RN,8,1752.1809139784948,0.005758157389635317,29.92067448680352,28.19868035190616,29.05967741935484,2021
NE,RN,9,1959.9420982735724,0.005616850551654965,30.900888230940044,29.16454478164323,30.032716506291635,2021
NE,RN,10,2087.634569536424,0.0001926782273603083,31.9265037593985,30.08063909774436,31.00357142857143,2021
NE,RN,11,2090.738567493113,0.0021321961620469083,32.51210191082803,30.564861995753713,31.53848195329087,2021
NE,RN,12,1997.5556291390728,0.017344753747323343,32.393903743315505,30.517219251336897,31.4555614973262,2021
NE,SE,1,1550.354050144648,0.06857335127860027,26.717894114167404,25.532606941081518,26.12525052762446,2021
NE,SE,2,1798.0838219326818,0.012749003984063745,27.589063083240017,26.56099671739779,27.075029900318903,2021
NE,SE,3,1707.2822266600099,0.06498625114573786,27.0935682517961,26.129588219252796,26.611578235524448,2021
NE,SE,4,1413.0929673041333,0.1848289538919187,26.045335658238884,25.438584247258223,25.74195995274855,2021
NE,SE,5,1202.0350267379679,0.2165297245045916,24.577624113475174,23.539858156028366,24.05874113475177,2021
NE,SE,6,1188.8597725657428,0.11669980119284294,23.907108831073653,22.84620740197875,23.3766581165262,2021
NE,SE,7,1162.4970430107528,0.23872198378636147,23.225942897426858,22.200810715544588,22.713376806485723,2021
NE,SE,8,1400.0650208623088,0.04534130543099153,23.218850072780203,22.064374090247455,22.641612081513827,2021
NE,SE,9,1523.5027368421052,0.052857891976927106,25.239220979560354,24.034978789047436,24.637099884303893,2021
NE,SE,10,1642.736499674691,0.04519277696437286,26.54514510927983,25.32225008957363,25.93369759942673,2021
NE,SE,11,1616.5125594025799,0.09178947368421053,27.067228177641656,25.987557427258807,26.52739280245023,2021
NE,SE,12,1687.1898792943362,0.2512987012987013,26.97543966040024,25.815039417828988,26.395239539114613,2021
S,PR,1,1161.4273384353742,0.37395390872119294,22.92766726943942,21.81726039783002,22.37246383363472,2021
S,PR,2,1640.0447524752474,0.11058748267405907,23.06288284429214,21.533229813664594,22.29805632897837,2021
S,PR,3,1351.188845144357,0.2024602890242446,23.171324743970928,21.739533091069266,22.455428917520095,2021
S,PR,4,1303.3621263157893,0.03015852885225111,19.885977386641798,18.417531180790302,19.151754283716052,2021
S,PR,5,1079.154716572912,0.1026657394529439,17.495336124680158,16.054280065131426,16.774808094905794,2021
S,PR,6,859.5052180303773,0.11818422445738486,15.678364361702128,14.550997340425532,15.11468085106383,2021
S,PR,7,1175.5521886336155,0.04040905770635501,14.652297444263187,13.076876019575856,13.864586731919522,2021
S,PR,8,1158.8770149253733,0.08073447138143738,18.532066137221715,17.182671527144905,17.85736883218331,2021
S,PR,9,1312.0858672875436,0.10598187311178248,21.271727247881934,19.858308280951082,20.56501776441651,2021
S,PR,10,1125.434063619128,0.34133371249822264,19.455287282117496,18.329089735313104,18.8921885087153,2021
S,PR,11,1628.8217925386716,0.07486733177669284,23.34748343716009,21.87510135469198,22.611292395926036,2021
S,PR,12,1672.5093673965937,0.08599934217739283,24.817603414981196,23.135684520784633,23.976643967882914,2021
S,RS,1,1498.2356518719982,0.280264776097808,23.723034672159287,22.4869172674219,23.104975969790594,2021
S,RS,2,1618.9922647730154,0.1570070900588324,22.707749461593682,21.38254127781766,22.045145369705672,2021
S,RS,3,1344.3405550086143,0.17971044325511185,22.163195691202873,20.95751591317121,21.56035580218704,2021
S,RS,4,1306.5081299688904,0.05815551797344464,20.007588354031956,18.783766122686373,19.395677238359163,2021
S,RS,5,1039.7564977349944,0.19463749463749463,14.630737609812698,13.395325708602686,14.013031659207691,2021
S,RS,6,760.0685321233074,0.20419569996646422,13.234281167842811,12.289625709146257,12.761953438494533,2021
S,RS,7,1078.6102326991588,0.05056824838898653,13.023564911272361,11.729808175874705,12.376686543573534,2021
S,RS,8,1026.231797833935,0.12145112900678982,15.91535810173427,14.767357230970177,15.341357666352224,2021
S,RS,9,1082.2121270310192,0.26845467236346715,17.47905199939182,16.45643910597537,16.967745552683596,2021
S,RS,10,1476.14456673168,0.1578173933991809,18.838072776280324,17.59640729181444,18.217240034047382,2021
